code_insee,commune,pct_fibre,pct_cable,pct_dsl,pct_thd_radio,pct_4g_fixe,pct_hd_radio,pct_satellite,nb_locaux,nb_locaux_fibre,nb_locaux_cable,nb_locaux_dsl,nb_locaux_thd_radio,nb_locaux_4g_fixe,nb_locaux_hd_radio,nb_locaux_satellite
14299,Genneville,83.8,0.0,92.2,0.0,100.0,92.3,100.0,587,492.0,,541.0,,587.0,542.0,587.0
26179,Mercurol-Veaunes,20.6,0.0,99.8,0.0,99.3,0.0,100.0,1323,273.0,,1321.0,,1314.0,,1323.0
72338,Souillé,98.5,0.0,100.0,0.0,100.0,0.0,100.0,329,324.0,,329.0,,329.0,,329.0
54463,Rosières-en-Haye,94.3,0.0,100.0,0.0,100.0,0.0,100.0,140,132.0,,140.0,,140.0,,140.0
86298,Vouneuil-sur-Vienne,95.6,0.0,99.6,0.0,100.0,0.0,100.0,1161,1110.0,,1156.0,,1161.0,,1161.0
32460,Vergoignan,62.4,0.0,100.0,0.0,100.0,26.1,100.0,234,146.0,,234.0,,234.0,61.0,234.0
49244,Mauges-sur-Loire,91.8,0.0,99.9,0.0,99.9,46.3,100.0,10263,9425.0,,10257.0,,10253.0,4755.0,10263.0
39249,Germigney,95.5,0.0,77.3,0.0,97.7,0.0,100.0,44,42.0,,34.0,,43.0,,44.0
70485,Selles,87.7,0.0,100.0,0.0,100.0,0.0,100.0,220,193.0,,220.0,,220.0,,220.0
52287,Levécourt,94.1,0.0,100.0,0.0,100.0,0.0,100.0,85,80.0,,85.0,,85.0,,85.0
12065,Centrès,80.4,0.0,100.0,0.0,79.0,0.0,100.0,414,333.0,,414.0,,327.0,,414.0
86190,Persac,39.5,0.0,95.6,0.0,100.0,0.0,100.0,663,262.0,,634.0,,663.0,,663.0
55386,Nonsard-Lamarche,87.8,0.0,100.0,0.0,100.0,0.0,100.0,156,137.0,,156.0,,156.0,,156.0
62232,La Comté,95.3,0.0,100.0,0.0,100.0,0.0,99.8,408,389.0,,408.0,,408.0,,407.0
09170,Lissac,95.0,0.0,100.0,0.0,97.1,0.0,100.0,140,133.0,,140.0,,136.0,,140.0
05115,Remollon,96.7,0.0,100.0,0.0,100.0,0.0,100.0,338,327.0,,338.0,,338.0,,338.0
53100,Fougerolles-du-Plessis,93.7,0.0,100.0,0.0,97.8,0.0,100.0,952,892.0,,952.0,,931.0,,952.0
